Date,Result
"Thursday, Dec 4, 2025","8, 15, 27, 34, 42, 47"
"Saturday, Dec 2, 2025","3, 19, 23, 31, 38, 45"
"Wednesday, Nov 29, 2025","6, 14, 22, 29, 41, 44"
"Saturday, Nov 26, 2025","4, 18, 25, 33, 39, 46"
"Wednesday, Nov 22, 2025","7, 13, 28, 37, 40, 47"
"Saturday, Nov 19, 2025","9, 17, 24, 35, 43, 47"
"Wednesday, Nov 15, 2025","2, 11, 21, 32, 44, 46"
"Saturday, Nov 12, 2025","5, 16, 26, 36, 41, 45"
"Wednesday, Nov 8, 2025","12, 20, 30, 38, 42, 47"
"Saturday, Nov 5, 2025","8, 19, 27, 33, 40, 46"
2025-10-25,"11, 20, 36, 38, 41, 44"
2025-10-22,"5, 8, 10, 12, 20, 28"
2025-10-18,"13, 14, 19, 23, 35, 37"
2025-10-15,"6, 9, 25, 32, 36, 41"
2025-10-11,"9, 13, 16, 26, 27, 42"
2025-10-08,"2, 12, 27, 29, 41, 42"
2025-10-04,"3, 9, 17, 23, 28, 29"
2025-10-01,"9, 15, 20, 21, 27, 33"
2025-09-27,"9, 12, 18, 20, 21, 35"
2025-09-24,"12, 29, 32, 38, 42, 45"
2025-09-20,"5, 14, 19, 32, 39, 40"
2025-09-17,"8, 9, 10, 14, 24, 47"
2025-09-13,"8, 24, 25, 33, 35, 36"
2025-09-10,"14, 19, 32, 35, 36, 45"
2025-09-06,"4, 17, 28, 36, 46, 47"
2025-09-03,"1, 3, 7, 11, 37, 41"
2025-08-30,"4, 7, 30, 34, 39, 44"
2025-08-27,"3, 10, 16, 17, 33, 34"
2025-08-23,"25, 26, 29, 40, 41, 47"
2025-08-20,"9, 12, 15, 26, 33, 47"
2025-08-16,"3, 9, 19, 24, 26, 34"
2025-08-13,"4, 8, 10, 26, 31, 34"
2025-08-09,"1, 27, 32, 40, 41, 42"
2025-08-06,"9, 11, 12, 38, 39, 42"
2025-08-02,"2, 7, 19, 22, 25, 41"
2025-07-30,"8, 21, 28, 32, 34, 35"
2025-07-26,"2, 6, 8, 16, 38, 47"
2025-07-23,"8, 13, 19, 25, 26, 37"
2025-07-19,"4, 5, 6, 11, 23, 47"
2025-07-16,"4, 10, 12, 13, 18, 40"
2025-07-12,"15, 20, 26, 36, 41, 47"
2025-07-09,"9, 24, 30, 31, 33, 39"
2025-07-05,"1, 2, 17, 20, 29, 38"
2025-07-02,"3, 20, 22, 34, 37, 42"
2025-06-28,"9, 11, 14, 32, 37, 38"
2025-06-25,"14, 20, 26, 32, 37, 38"
2025-06-21,"5, 7, 28, 35, 40, 47"
2025-06-18,"2, 11, 17, 21, 27, 44"
2025-06-14,"2, 6, 16, 29, 30, 36"
2025-06-11,"3, 5, 14, 32, 44, 47"
2025-06-07,"19, 21, 25, 30, 39, 41"
2025-06-04,"1, 3, 7, 15, 28, 40"
2025-05-31,"1, 12, 14, 19, 28, 44"
2025-05-28,"5, 11, 13, 19, 37, 38"
2025-05-24,"12, 28, 33, 38, 44, 45"
2025-05-21,"4, 13, 18, 21, 28, 31"
2025-05-17,"2, 19, 23, 27, 28, 46"
2025-05-14,"6, 9, 13, 31, 33, 43"
2025-05-10,"2, 5, 15, 17, 20, 24"
2025-05-07,"3, 6, 20, 30, 32, 43"
2025-05-03,"3, 13, 31, 33, 38, 45"
2025-04-30,"5, 13, 29, 37, 41, 43"
2025-04-26,"4, 6, 14, 23, 35, 46"
2025-04-23,"13, 25, 30, 35, 38, 46"
2025-04-19,"2, 6, 8, 12, 14, 33"
2025-04-16,"2, 7, 8, 12, 21, 46"
2025-04-12,"5, 7, 15, 23, 34, 45"
2025-04-09,"1, 6, 9, 20, 22, 45"
2025-04-05,"1, 2, 3, 12, 15, 19"
2025-04-02,"9, 30, 32, 38, 40, 45"
2025-03-29,"5, 14, 21, 24, 26, 37"
2025-03-26,"2, 3, 10, 14, 16, 23"
2025-03-22,"4, 5, 25, 27, 37, 40"
2025-03-19,"2, 7, 11, 13, 23, 31"
2025-03-15,"4, 9, 12, 14, 16, 33"
2025-03-12,"13, 18, 21, 23, 33, 39"
2025-03-08,"6, 9, 14, 25, 26, 27"
2025-03-05,"14, 18, 19, 25, 36, 41"
2025-03-01,"9, 12, 14, 15, 29, 44"
2025-02-26,"15, 19, 23, 30, 34, 47"
2025-02-22,"2, 17, 21, 27, 38, 40"
2025-02-19,"4, 10, 11, 26, 28, 34"
2025-02-15,"2, 11, 15, 17, 33, 44"
2025-02-12,"2, 11, 18, 35, 38, 43"
2025-02-08,"22, 33, 36, 39, 41, 45"
2025-02-05,"7, 24, 29, 41, 43, 44"
2025-02-01,"2, 5, 24, 36, 38, 44"
2025-01-29,"12, 17, 21, 28, 29, 33"
2025-01-25,"14, 21, 23, 27, 37, 40"
2025-01-22,"3, 16, 25, 28, 30, 38"
2025-01-18,"7, 21, 22, 34, 37, 43"
2025-01-15,"2, 10, 12, 21, 22, 23"
2025-01-11,"3, 4, 25, 32, 33, 34"
2025-01-08,"4, 8, 17, 28, 36, 43"
2025-01-04,"4, 21, 23, 33, 42, 46"
2025-01-01,"2, 31, 36, 39, 46, 47"
2024-12-28,"5, 7, 25, 34, 35, 36"
2024-12-25,"2, 14, 27, 31, 45, 46"
2024-12-21,"1, 10, 15, 22, 29, 38"
2024-12-18,"16, 18, 26, 30, 32, 37"
2024-12-14,"9, 15, 16, 30, 40, 44"
2024-12-11,"33, 35, 42, 44, 45, 47"
2024-12-07,"2, 3, 10, 16, 18, 38"
2024-12-04,"2, 10, 13, 24, 29, 46"
2024-11-30,"2, 8, 13, 18, 20, 23"
2024-11-27,"8, 10, 20, 21, 34, 35"
2024-11-23,"22, 28, 31, 32, 33, 37"
2024-11-20,"9, 10, 14, 20, 23, 32"
2024-11-16,"4, 5, 7, 31, 43, 45"
2024-11-13,"8, 11, 18, 22, 37, 47"
2024-11-09,"2, 21, 22, 24, 27, 32"
2024-11-06,"20, 22, 23, 27, 39, 41"
2024-11-02,"6, 13, 27, 33, 41, 44"
2024-10-30,"7, 21, 26, 27, 40, 44"
2024-10-26,"1, 3, 7, 17, 33, 43"
2021-01-01,
2020-01-01,
2019-01-01,
